OBJECTID,KelpBed,Status,Lessee,TermEnds,Shape__Area,Shape__Length
1,1,OPEN, ,,62539860.9882813,56801.1612516689
2,2,OPEN, ,,199925316.175781,192832.083718717
3,3,LEASED,"KNOCEAN Sciences, Inc.",2024/07/04 00:00:00+00,89235833.0039063,42773.9137463295
4,4,LEASABLE, ,,135529366.433594,120677.900950876
5,5,LEASABLE, ,,94460500.6835938,49936.6256761082
6,6,LEASABLE, ,,189851665.910156,125176.465579217
7,7,OPEN, ,,238430576.566406,104153.047657926
8,8,OPEN, ,,125077977.292969,54446.3560708988
9,9,OPEN, ,,145543092.820313,62576.8610991644
10,10,CLOSED, ,,57418019.3945313,31621.557371241
11,13,OPEN, ,,161349145.34375,65128.7157887485
12,14,OPEN, ,,117153862.1875,50352.9789631703
13,15,CLOSED, ,,130001307.078125,54444.4158101143
14,16,LEASABLE, ,,116603857.792969,48110.9810820924
15,17,LEASABLE, ,,227537582.628906,80615.5837240345
16,18,OPEN, ,,77335509.265625,36475.84435286
17,19,LEASABLE, ,,90594675.2109375,40331.1613572221
18,20,LEASABLE, ,,83283203.9765625,46375.921760517
19,21,LEASABLE, ,,45669538.4921875,27167.7114952322
20,22,CLOSED, ,,35111681.0117188,25526.1468934694
21,23,OPEN, ,,38846033.1523438,25595.553142593
22,24,CLOSED, ,,17612712.5273438,19239.7400479643
23,25,OPEN, ,,26191806.5898438,22072.1350540989
24,26,LEASED,Cultured Abalone,2028/10/03 00:00:00+00,52340260.0039063,45543.8222126175
25,27,LEASABLE, ,,38797259.1523438,25013.6009662361
26,28,OPEN, ,,93585263.8632813,45572.1036179195
27,29,LEASABLE, ,,59987622.4453125,31882.637462535
28,30,LEASABLE, ,,77020619.1328125,36806.1984903489
29,31,LEASABLE, ,,79743753.5390625,38413.0629554234
30,32,LEASABLE, ,,158967703.929688,62391.0556566511
31,33,OPEN, ,,108727876.082031,46620.6604062794
32,34,LEASABLE, ,,134492844.804688,55767.0801502469
33,101,OPEN, ,,101219358.652344,45582.2556060464
34,102,LEASABLE, ,,140691594.386719,61206.5048149272
35,103,LEASABLE, ,,211408074.585938,80402.504700318
36,104,OPEN, ,,320241418.941406,111907.647345301
37,105,OPEN, ,,792725413.082031,257727.80377374
38,106,LEASABLE, ,,211337759.273438,64976.7117847029
39,107,LEASABLE, ,,255297084.136719,92679.5917024506
40,108,LEASABLE, ,,209651319.59375,80241.6418105785
41,109,OPEN, ,,269615131.242188,88093.5111454398
42,110,OPEN, ,,202560013.265625,77259.7554533626
43,111,LEASABLE, ,,298526566.355469,106386.630850157
44,112,OPEN, ,,395688317.949219,146917.363366763
45,113,OPEN, ,,199471140.644531,76446.9472001531
46,114,OPEN, ,,190701412.59375,70756.7748774603
47,115,OPEN, ,,201911564.046875,77224.2615954811
48,116,OPEN, ,,85526393.4726563,36971.6182025697
49,117,OPEN, ,,159769639.871094,68172.3467021941
50,118,OPEN, ,,434676920.347656,116241.700419533
51,202,LEASABLE, ,,354663426.523438,125075.360405168
52,203,CLOSED, ,,250472363.417969,95888.3549973458
53,204,LEASABLE, ,,47970372.8945313,37803.9010867604
54,205,OPEN, ,,189035967.351563,75918.2214269445
55,206,CLOSED, ,,140823970.800781,84584.1577008598
56,207,LEASABLE, ,,130592373.5625,53751.4402169286
57,208,LEASABLE, ,,131440454.113281,54022.9911876678
58,209,LEASABLE, ,,113392509.382813,50187.5057410499
59,210,LEASABLE, ,,93114062.640625,42466.4877224455
60,211,LEASABLE, ,,180541262.195313,69790.3299837214
61,212,LEASABLE, ,,108272415.273438,45993.0778997862
62,213,OPEN, ,,182413502.269531,66912.8529890952
63,214,LEASABLE, ,,190496725.132813,71296.7864156144
64,215,OPEN, ,,95999029.2539063,42675.0467074743
65,216,LEASABLE, ,,107893424.28125,46350.3541402648
66,217,OPEN, ,,231965286.355469,90216.5337860626
67,218,OPEN, ,,39136124.0546875,29065.549319327
68,219,OPEN, ,,78839781.0429688,44329.762802577
69,220,OPEN, ,,152980163.273438,65193.5169392731
70,221,OPEN, ,,444445809.789063,261308.15885839
71,222,OPEN, ,,139860300.707031,62714.1814419018
72,223,LEASABLE, ,,216337605.960938,82791.2545672801
73,224,CLOSED, ,,181928416.832031,68940.8549954177
74,225,CLOSED, ,,350884525.109375,123623.282361504
75,226,CLOSED, ,,310942860.667969,111009.725359856
76,301,CLOSED, ,,587314945.019531,277290.714726225
77,302,CLOSED, ,,553364544.902344,270275.65997444
78,303,CLOSED, ,,570167318.386719,213317.028189843
79,304,CLOSED, ,,129835812.4375,59038.5473256336
80,305,CLOSED, ,,197159303.53125,74624.1000971599
81,306,CLOSED, ,,340908239.265625,166049.297200762
82,307,CLOSED, ,,356274601.523438,199292.150025117
83,308,CLOSED (TEMPORARILY), ,,573018154.582031,177591.440470118
84,309,CLOSED (TEMPORARILY), ,,673241976.292969,198848.740845633
85,310,CLOSED, ,,515484954.90625,270652.222595923
86,311,CLOSED, ,,1263600609.82031,596249.936408272
87,312,CLOSED (TEMPORARILY), ,,934367514.875,273677.833090552
