year,quarter,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
2000,1,0.266666667,0.258,0.419,0.345,0.507333333,0.468666667,0.305,0.244666667,0.606333333,0.182666667,-0.077,-0.053666667,-0.010666667,-0.220666667,-0.15,0.013333333,-0.308333333
2000,2,0.522,0.348,0.382333333,0.478333333,0.677,0.873666667,0.636333333,0.613666667,1.069,1.021666667,0.683333333,0.789666667,0.695,0.23,0.342,0.209666667,0.124333333
2000,3,0.434333333,0.363666667,0.297666667,0.482333333,0.681,0.747666667,0.607333333,0.714666667,1.340333333,1.236333333,0.805666667,0.795666667,0.695333333,0.349666667,0.388333333,0.261666667,0.154
2000,4,0.244,0.223333333,0.333,0.452666667,0.550666667,0.538666667,0.522333333,0.370666667,0.613,0.54,0.318333333,0.294333333,0.211333333,-0.052,0.005333333,0.023333333,-0.194666667
2001,1,0.167666667,0.208333333,0.328,0.294333333,0.414333333,0.384333333,0.360666667,0.393333333,0.638333333,0.590666667,0.326666667,0.393666667,0.409,0.040666667,0.121333333,0.004666667,-0.077
2001,2,0.334666667,0.387333333,0.364333333,0.554,0.973,0.979333333,0.969333333,1.130666667,1.675666667,1.320666667,1.122,1.159333333,0.672333333,0.182666667,0.357,0.193,0.260333333
2001,3,0.396333333,0.373666667,0.364,0.494666667,0.742333333,0.722666667,0.701,0.821333333,1.699,1.554,1.135,0.864,0.846666667,0.560333333,0.455666667,0.316333333,0.282666667
2001,4,0.316666667,0.244,0.341666667,0.299,0.411,0.279333333,0.319666667,0.294666667,0.597666667,0.273333333,-0.026333333,-0.186,-0.074,-0.209666667,-0.291333333,-0.076666667,-0.193333333
2002,1,0.419666667,0.453,0.644,0.461333333,0.692,0.69,0.467,0.404,0.824666667,0.729333333,0.466,0.599666667,0.375333333,-0.225,0.004333333,-0.063333333,-0.257666667
2002,2,0.418666667,0.467666667,0.571333333,0.898333333,1.126666667,1.107666667,1.203333333,0.88,1.993666667,1.574,1.04,1.026,0.880666667,0.250666667,0.489666667,0.178666667,0.188666667
2002,3,0.354666667,0.333666667,0.373,0.488666667,0.575,0.568333333,0.58,0.583,1.333333333,1.846666667,1.427,1.446666667,1.082333333,0.557666667,0.513,0.432666667,0.356666667
2002,4,0.380666667,0.228333333,0.320666667,0.256333333,0.218333333,0.146666667,0.121,0.108,0.193333333,0.144333333,0.111,0.042666667,-0.073,-0.276,-0.515333333,-0.239666667,-0.610333333
2003,1,0.249,0.335333333,0.489333333,0.533,0.590333333,0.622666667,0.495,0.273,0.519666667,0.502,-0.131333333,0.162,-0.079666667,-0.299333333,-0.293666667,-0.136,-0.527333333
2003,2,0.331,0.447333333,0.587666667,0.822666667,0.981,1.195333333,1.056333333,0.741,1.549666667,1.158666667,0.736333333,1.056333333,0.779333333,0.194666667,0.374,0.216666667,0.059333333
2003,3,0.410333333,0.422666667,0.573333333,0.705666667,0.598666667,0.865666667,0.604,0.609666667,1.185333333,1.437333333,0.964,1.024333333,0.996666667,0.541,0.564666667,0.394,0.309666667
2003,4,0.337,0.202666667,0.336333333,0.302333333,0.400333333,0.363333333,0.316666667,0.151333333,0.263666667,0.200333333,-0.263,0.096666667,-0.018,-0.266666667,-0.343666667,-0.141666667,-0.184666667
2004,1,0.371666667,0.422,0.514,0.548,0.631,0.584,0.424333333,0.303,0.649666667,0.344,-0.167,0.202666667,0.152666667,-0.373666667,-0.123,-0.124,-0.134333333
2004,2,0.492333333,0.556,0.711333333,0.967333333,0.955666667,1.153333333,1.106333333,0.710333333,1.546666667,1.202,0.682,1.092666667,0.650666667,0.272,0.310333333,0.199666667,0.154333333
