DATE_OF_SURVEY,YEAR,MONTH,DAY,REGION,BED,BED_NAME,HARVESTED,TOTAL,AVAILABLE,DATE_PREVIOUS_SURVEY,Notes,OBJECTID,KelpBed,Status,Lessee,TermEnds,Shape__Area,Shape__Length
01/11/2000,2000,1,11,Southern,1,Imperial Beach,0.0,0.0,0.0,11/19/1999, ,1.0,1.0,OPEN, ,,62539860.9882813,56801.1612516689
01/11/2000,2000,1,11,Southern,2,Coronado,1618.0,1000.0,900.0,11/19/1999, ,2.0,2.0,OPEN, ,,199925316.175781,192832.083718717
01/11/2000,2000,1,11,Southern,3,Point Loma,1619.0,1000.0,900.0,11/19/1999, ,3.0,3.0,LEASED,"KNOCEAN Sciences, Inc.",2024/07/04 00:00:00+00,89235833.0039063,42773.9137463295
01/11/2000,2000,1,11,Southern,5,Encinitas,0.0,175.0,125.0,11/19/1999, ,5.0,5.0,LEASABLE, ,,94460500.6835938,49936.6256761082
01/11/2000,2000,1,11,Southern,6,Las Flores,0.0,175.0,125.0,11/19/1999, ,6.0,6.0,LEASABLE, ,,189851665.910156,125176.465579217
01/11/2000,2000,1,11,Southern,9,San Clemente,0.0,0.0,0.0,11/19/1999, ,9.0,9.0,OPEN, ,,145543092.820313,62576.8610991644
01/11/2000,2000,1,11,Southern,13,Palos Verdes,0.0,150.0,75.0,11/19/1999, ,11.0,13.0,OPEN, ,,161349145.34375,65128.7157887485
01/11/2000,2000,1,11,Southern,14,Redondo Beach,0.0,150.0,75.0,11/19/1999, ,12.0,14.0,OPEN, ,,117153862.1875,50352.9789631703
01/11/2000,2000,1,11,Southern,16,Malibu,0.0,250.0,0.0,11/19/1999, ,14.0,16.0,LEASABLE, ,,116603857.792969,48110.9810820924
01/11/2000,2000,1,11,Southern,17,Point Dume,0.0,250.0,0.0,11/19/1999, ,15.0,17.0,LEASABLE, ,,227537582.628906,80615.5837240345
01/11/2000,2000,1,11,Southern,18,Ventura,0.0,0.0,0.0,11/19/1999, ,16.0,18.0,OPEN, ,,77335509.265625,36475.84435286
01/11/2000,2000,1,11,Southern,19,Rincon Point,0.0,0.0,0.0,11/19/1999, ,17.0,19.0,LEASABLE, ,,90594675.2109375,40331.1613572221
01/11/2000,2000,1,11,Southern,20,Carpinteria,0.0,0.0,0.0,11/19/1999, ,18.0,20.0,LEASABLE, ,,83283203.9765625,46375.921760517
01/11/2000,2000,1,11,Southern,21,Summerland,0.0,0.0,0.0,11/19/1999, ,19.0,21.0,LEASABLE, ,,45669538.4921875,27167.7114952322
01/11/2000,2000,1,11,Southern,22,Santa Barbara,0.0,0.0,0.0,11/19/1999, ,20.0,22.0,CLOSED, ,,35111681.0117188,25526.1468934694
01/11/2000,2000,1,11,Southern,23,Santa Barbara Breakwater,0.0,0.0,0.0,11/19/1999, ,21.0,23.0,OPEN, ,,38846033.1523438,25595.553142593
01/11/2000,2000,1,11,Southern,24,Arroyo Burro,0.0,0.0,0.0,11/19/1999, ,22.0,24.0,CLOSED, ,,17612712.5273438,19239.7400479643
01/11/2000,2000,1,11,Southern,25,Hope Ranch,0.0,0.0,0.0,11/19/1999, ,23.0,25.0,OPEN, ,,26191806.5898438,22072.1350540989
01/11/2000,2000,1,11,Southern,28,Naples,0.0,0.0,0.0,11/19/1999, ,26.0,28.0,OPEN, ,,93585263.8632813,45572.1036179195
01/11/2000,2000,1,11,Southern,30,Tajiguas,0.0,0.0,0.0,11/19/1999, ,28.0,30.0,LEASABLE, ,,77020619.1328125,36806.1984903489
01/11/2000,2000,1,11,Southern,31,Gaviota,0.0,0.0,0.0,11/19/1999, ,29.0,31.0,LEASABLE, ,,79743753.5390625,38413.0629554234
01/11/2000,2000,1,11,Southern,32,San Augustine,0.0,0.0,0.0,11/19/1999, ,30.0,32.0,LEASABLE, ,,158967703.929688,62391.0556566511
01/11/2000,2000,1,11,Southern,33,Point Conception,0.0,0.0,0.0,10/14/1999, ,31.0,33.0,OPEN, ,,108727876.082031,46620.6604062794
01/11/2000,2000,1,11,Southern,101,San Clemente Island (S),0.0,700.0,350.0,11/19/1999, ,33.0,101.0,OPEN, ,,101219358.652344,45582.2556060464
01/11/2000,2000,1,11,Southern,102,San Clemente Island (W),0.0,2000.0,1200.0,11/19/1999, ,34.0,102.0,LEASABLE, ,,140691594.386719,61206.5048149272
01/11/2000,2000,1,11,Southern,103,San Clemente Island (N),0.0,3500.0,2800.0,11/19/1999, ,35.0,103.0,LEASABLE, ,,211408074.585938,80402.504700318
01/11/2000,2000,1,11,Southern,110,Santa Cruz Island (N),0.0,400.0,250.0,11/19/1999, ,42.0,110.0,OPEN, ,,202560013.265625,77259.7554533626
01/11/2000,2000,1,11,Southern,111,Santa Cruz Island (W),0.0,0.0,0.0,11/19/1999, ,43.0,111.0,LEASABLE, ,,298526566.355469,106386.630850157
01/11/2000,2000,1,11,Southern,113,Santa Rosa Island (SE),0.0,250.0,150.0,11/19/1999, ,45.0,113.0,OPEN, ,,199471140.644531,76446.9472001531
01/11/2000,2000,1,11,Southern,114,Santa Rosa Island (SW),0.0,100.0,0.0,11/19/1999, ,46.0,114.0,OPEN, ,,190701412.59375,70756.7748774603
01/11/2000,2000,1,11,Southern,115,Santa Rosa Island (NW),0.0,0.0,0.0,11/19/1999, ,47.0,115.0,OPEN, ,,201911564.046875,77224.2615954811
01/11/2000,2000,1,11,Southern,117,San Miguel Island (S),0.0,0.0,0.0,11/19/1999, ,49.0,117.0,OPEN, ,,159769639.871094,68172.3467021941
01/11/2000,2000,1,11,Southern,118,San Miguel Island (N),0.0,0.0,0.0,11/19/1999, ,50.0,118.0,OPEN, ,,434676920.347656,116241.700419533
01/13/2000,2000,1,13,Baja,102, ,380.0,475.0,350.0,09/08/1999, ,34.0,102.0,LEASABLE, ,,140691594.386719,61206.5048149272
01/13/2000,2000,1,13,Baja,103, ,0.0,100.0,50.0,09/08/1999, ,35.0,103.0,LEASABLE, ,,211408074.585938,80402.504700318
01/13/2000,2000,1,13,Baja,104, ,0.0,0.0,0.0,09/08/1999, ,36.0,104.0,OPEN, ,,320241418.941406,111907.647345301
01/13/2000,2000,1,13,Baja,105, ,0.0,0.0,0.0,09/08/1999, ,37.0,105.0,OPEN, ,,792725413.082031,257727.80377374
01/13/2000,2000,1,13,Baja,106, ,522.0,0.0,0.0,09/08/1999, ,38.0,106.0,LEASABLE, ,,211337759.273438,64976.7117847029
01/13/2000,2000,1,13,Baja,107, ,1124.0,0.0,0.0,09/08/1999, ,39.0,107.0,LEASABLE, ,,255297084.136719,92679.5917024506
01/13/2000,2000,1,13,Baja,108, ,0.0,0.0,0.0,09/08/1999, ,40.0,108.0,LEASABLE, ,,209651319.59375,80241.6418105785
01/13/2000,2000,1,13,Baja,109, ,0.0,0.0,0.0,09/08/1999, ,41.0,109.0,OPEN, ,,269615131.242188,88093.5111454398
