year,quarter,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,1,0.14066666666666666,0.20233333333333334,0.22333333333333336,0.375,0.5206666666666667,0.6846666666666666,0.5373333333333333,0.4046666666666667,0.8083333333333335,0.6733333333333332,0.33466666666666667,0.369,0.3136666666666667,-0.033999999999999996,0.07866666666666668,0.03333333333333333,-0.10166666666666667
1988,2,0.38566666666666666,0.35133333333333333,0.44,0.5673333333333334,0.8646666666666668,0.718,0.6196666666666667,0.49066666666666664,1.221,0.878,0.39199999999999996,0.597,0.4343333333333333,-0.026999999999999996,0.14666666666666667,0.062,-0.012333333333333335
1988,3,0.264,0.2313333333333333,0.20933333333333334,0.3113333333333333,0.5426666666666666,0.5006666666666667,0.46166666666666667,0.5296666666666666,1.1283333333333332,1.1876666666666666,0.8663333333333334,0.9276666666666666,1.0223333333333333,0.48466666666666663,0.6033333333333334,0.304,0.25233333333333335
1988,4,0.4503333333333333,0.13799999999999998,0.265,0.37999999999999995,0.49266666666666664,0.3906666666666667,0.3566666666666667,0.29033333333333333,0.5973333333333334,0.5913333333333334,0.19099999999999998,0.3113333333333333,0.26766666666666666,-0.08799999999999998,0.03233333333333333,-0.010333333333333335,-0.09599999999999999
1989,1,0.25466666666666665,0.18299999999999997,0.266,0.3103333333333333,0.48466666666666663,0.43500000000000005,0.42766666666666664,0.26,0.575,0.3076666666666667,0.10366666666666667,0.05466666666666664,0.23266666666666666,-0.13066666666666668,-0.119,-0.013999999999999999,-0.157
1989,2,0.5063333333333334,0.383,0.36166666666666664,0.5286666666666666,0.8766666666666666,0.7433333333333333,0.5619999999999999,0.5093333333333333,1.1606666666666667,0.9696666666666666,0.6413333333333333,0.7173333333333334,0.6970000000000001,0.18500000000000003,0.2936666666666667,0.14866666666666667,0.063
1989,3,0.293,0.276,0.3113333333333333,0.49533333333333335,0.82,0.7093333333333334,0.6293333333333334,0.522,1.2246666666666666,1.129,0.719,0.7086666666666667,0.7136666666666667,0.40066666666666667,0.4613333333333333,0.2783333333333333,0.14966666666666667
1989,4,0.19799999999999998,0.17166666666666666,0.2333333333333333,0.22566666666666668,0.34400000000000003,0.336,0.26966666666666667,0.3006666666666667,0.6586666666666666,0.5943333333333333,0.278,0.26066666666666666,0.3456666666666666,0.03233333333333333,0.04800000000000001,0.03,-0.09666666666666668
1990,1,0.14633333333333334,0.26966666666666667,0.4483333333333333,0.37766666666666665,0.6216666666666667,0.5123333333333333,0.48666666666666664,0.44933333333333336,0.906,0.7416666666666667,0.21733333333333335,0.3076666666666667,0.13466666666666668,-0.14433333333333334,-0.14833333333333334,0.05733333333333334,-0.15966666666666668
1990,2,0.35366666666666663,0.28833333333333333,0.38199999999999995,0.453,0.7376666666666667,0.5916666666666667,0.5783333333333333,0.6213333333333333,1.3423333333333334,1.1286666666666667,0.6333333333333333,0.7603333333333334,0.6263333333333333,0.125,0.26,0.113,0.035333333333333335
1990,3,0.22033333333333335,0.283,0.3156666666666667,0.47866666666666663,0.6273333333333334,0.516,0.336,0.33433333333333337,0.8156666666666667,0.7483333333333334,0.6406666666666667,0.7236666666666668,0.6256666666666667,0.334,0.4176666666666667,0.3026666666666667,0.224
1990,4,0.21833333333333335,0.2233333333333333,0.34500000000000003,0.4673333333333333,0.6819999999999999,0.48233333333333334,0.5146666666666667,0.636,1.1476666666666666,1.0063333333333333,0.6116666666666667,0.6736666666666666,0.47900000000000004,0.033999999999999996,0.17733333333333334,0.013666666666666669,-0.02566666666666667
1991,1,0.14133333333333334,0.25266666666666665,0.303,0.2916666666666667,0.3623333333333334,0.3753333333333333,0.128,0.16533333333333333,0.461,0.20299999999999999,0.13566666666666666,0.04100000000000001,0.13266666666666668,-0.09199999999999998,-0.07033333333333334,-0.043666666666666666,-0.206
1991,2,0.434,0.43,0.527,0.7323333333333334,1.0473333333333332,1.0146666666666666,0.9386666666666666,0.8316666666666667,1.5083333333333335,1.3486666666666667,0.819,0.8146666666666667,0.8893333333333334,0.1466666666666667,0.32766666666666666,0.168,0.10033333333333333
1991,3,0.22233333333333336,0.27599999999999997,0.22833333333333336,0.3503333333333334,0.47733333333333333,0.5246666666666667,0.25299999999999995,0.4736666666666667,0.8763333333333333,0.9966666666666667,0.8236666666666667,0.875,0.8396666666666667,0.4623333333333333,0.457,0.296,0.18266666666666667
1991,4,0.11633333333333333,0.14566666666666667,0.336,0.3436666666666666,0.466,0.3156666666666667,0.26033333333333336,0.3396666666666666,0.5933333333333334,0.48633333333333334,0.381,0.2926666666666667,0.28733333333333333,0.044333333333333336,0.027999999999999997,0.03366666666666666,-0.11533333333333333
1992,1,0.13633333333333333,0.041666666666666664,0.12533333333333332,0.038,0.15366666666666665,-0.149,0.029333333333333336,-0.12600000000000003,-0.025000000000000005,-0.17300000000000001,-0.17300000000000004,-0.3283333333333333,-0.06,-0.235,-0.20666666666666667,-0.13433333333333333,-0.38999999999999996
1992,2,0.33466666666666667,0.33,0.452,0.5443333333333333,0.6543333333333333,0.6063333333333333,0.5796666666666667,0.626,0.951,0.983,0.7040000000000001,0.7320000000000001,0.6796666666666665,0.16766666666666663,0.328,0.15733333333333335,0.08900000000000001
1992,3,0.19599999999999998,0.21633333333333335,0.40700000000000003,0.4643333333333333,0.6776666666666666,0.5696666666666667,0.549,0.478,0.8703333333333334,0.9116666666666666,0.6823333333333333,0.6383333333333333,0.6446666666666666,0.3586666666666667,0.41966666666666663,0.321,0.24433333333333332
1992,4,0.11066666666666668,0.25066666666666665,0.40233333333333327,0.331,0.29466666666666663,0.36400000000000005,0.21466666666666667,0.15533333333333335,0.4626666666666666,0.412,0.142,0.13933333333333334,0.15466666666666665,-0.018000000000000006,0.010000000000000007,0.054333333333333324,-0.10366666666666667
1993,1,0.11866666666666666,0.17333333333333334,0.229,0.2623333333333333,0.18000000000000002,0.14966666666666664,0.10966666666666665,-0.057999999999999996,0.04800000000000001,-0.038,-0.15266666666666664,-0.171,0.04933333333333333,-0.07133333333333333,-0.111,-0.027999999999999997,-0.2846666666666667
1993,2,0.3426666666666667,0.365,0.5076666666666667,0.7673333333333333,0.932,0.743,0.6453333333333333,0.666,1.051,0.8853333333333334,0.21366666666666667,0.30566666666666664,0.20466666666666666,-0.09566666666666668,-0.021666666666666685,0.03633333333333333,-0.17066666666666666
1993,3,0.18433333333333332,0.21066666666666667,0.24533333333333332,0.363,0.573,0.49100000000000005,0.5133333333333333,0.637,1.2206666666666666,1.156,0.8883333333333333,0.7943333333333333,0.7366666666666667,0.42533333333333334,0.4526666666666667,0.2986666666666667,0.20266666666666666
1993,4,0.12566666666666668,0.11833333333333333,0.24266666666666667,0.23500000000000001,0.25033333333333335,0.2233333333333333,0.14433333333333334,0.14666666666666664,0.35833333333333334,0.29933333333333334,0.126,0.15366666666666665,0.2733333333333333,-0.022000000000000002,-0.05433333333333331,0.036999999999999984,-0.20666666666666667
1994,1,0.002333333333333333,0.15433333333333332,0.27999999999999997,0.25166666666666665,0.32866666666666666,0.24,0.14866666666666664,0.07766666666666668,0.302,0.4523333333333333,0.033999999999999996,0.043000000000000003,-0.074,-0.14733333333333334,-0.17733333333333334,-0.067,-0.333
1994,2,0.19166666666666665,0.22033333333333335,0.39433333333333337,0.6713333333333332,1.127,0.944,0.9246666666666666,0.809,1.2606666666666666,1.2886666666666666,0.7763333333333332,0.9089999999999999,0.6433333333333333,0.165,0.3193333333333333,0.1366666666666667,0.01533333333333334
1994,3,0.25,0.283,0.2886666666666667,0.34500000000000003,0.648,0.49866666666666665,0.488,0.4666666666666666,0.8610000000000001,1.0633333333333332,0.7523333333333334,0.8176666666666667,0.7156666666666668,0.39166666666666666,0.43900000000000006,0.25699999999999995,0.16166666666666665
1994,4,0.124,0.22233333333333336,0.40199999999999997,0.36033333333333334,0.4676666666666667,0.401,0.34299999999999997,0.23233333333333336,0.5616666666666666,0.24533333333333332,-0.01200000000000001,-0.07166666666666666,0.049333333333333305,-0.22433333333333336,-0.26,-0.07933333333333334,-0.26599999999999996
