DATE_OF_SURVEY,YEAR,MONTH,lat,lon,BED,BED_NAME,REGION,TOTAL,AVAILABLE,HARVESTED,Shape__Area,Shape__Length,cuti_lat_band,CUTI,SSTA,target
2000-01-11,2000,1,32.55,-119.53333333333333,1,Imperial Beach,Southern,0.0,0.0,0.0,62539860.9882813,56801.1612516689,33,0.419,,0
2000-01-11,2000,1,41.666666666666664,-124.9,118,San Miguel Island (N),Southern,0.0,0.0,0.0,434676920.347656,116241.700419533,42,-0.053666667,,0
2000-01-11,2000,1,41.583333333333336,-124.85,117,San Miguel Island (S),Southern,0.0,0.0,0.0,159769639.871094,68172.3467021941,42,-0.053666667,,0
2000-01-11,2000,1,41.416666666666664,-124.75,115,Santa Rosa Island (NW),Southern,0.0,0.0,0.0,201911564.046875,77224.2615954811,41,-0.077,,0
2000-01-11,2000,1,41.333333333333336,-124.7,114,Santa Rosa Island (SW),Southern,100.0,0.0,0.0,190701412.59375,70756.7748774603,41,-0.077,,1
2000-01-11,2000,1,41.25,-124.65,113,Santa Rosa Island (SE),Southern,250.0,150.0,0.0,199471140.644531,76446.9472001531,41,-0.077,,1
2000-01-11,2000,1,41.0,-124.5,110,Santa Cruz Island (N),Southern,400.0,250.0,0.0,202560013.265625,77259.7554533626,41,-0.077,,1
2000-01-11,2000,1,40.416666666666664,-124.15,103,San Clemente Island (N),Southern,3500.0,2800.0,0.0,211408074.585938,80402.504700318,40,0.182666667,,1
2000-01-11,2000,1,40.333333333333336,-124.1,102,San Clemente Island (W),Southern,2000.0,1200.0,0.0,140691594.386719,61206.5048149272,40,0.182666667,,1
2000-01-11,2000,1,40.25,-124.05,101,San Clemente Island (S),Southern,700.0,350.0,0.0,101219358.652344,45582.2556060464,40,0.182666667,,1
2000-01-11,2000,1,34.3,-120.725,33,Point Conception,Southern,0.0,0.0,0.0,108727876.082031,46620.6604062794,34,0.345,,0
2000-01-11,2000,1,34.2,-120.65,32,San Augustine,Southern,0.0,0.0,0.0,158967703.929688,62391.0556566511,34,0.345,,0
2000-01-11,2000,1,34.1,-120.575,31,Gaviota,Southern,0.0,0.0,0.0,79743753.5390625,38413.0629554234,34,0.345,,0
2000-01-11,2000,1,34.0,-120.5,30,Tajiguas,Southern,0.0,0.0,0.0,77020619.1328125,36806.1984903489,34,0.345,,0
2000-01-11,2000,1,33.9,-120.43333333333334,28,Naples,Southern,0.0,0.0,0.0,93585263.8632813,45572.1036179195,34,0.345,,0
2000-01-11,2000,1,33.75,-120.33333333333333,25,Hope Ranch,Southern,0.0,0.0,0.0,26191806.5898438,22072.1350540989,34,0.345,,0
2000-01-11,2000,1,41.083333333333336,-124.55,111,Santa Cruz Island (W),Southern,0.0,0.0,0.0,298526566.355469,106386.630850157,41,-0.077,,0
2000-01-11,2000,1,33.65,-120.26666666666667,23,Santa Barbara Breakwater,Southern,0.0,0.0,0.0,38846033.1523438,25595.553142593,34,0.345,,0
2000-01-11,2000,1,32.65,-119.6,3,Point Loma,Southern,1000.0,900.0,1619.0,89235833.0039063,42773.9137463295,33,0.419,,1
2000-01-11,2000,1,32.75,-119.66666666666667,5,Encinitas,Southern,175.0,125.0,0.0,94460500.6835938,49936.6256761082,33,0.419,,1
2000-01-11,2000,1,32.8,-119.7,6,Las Flores,Southern,175.0,125.0,0.0,189851665.910156,125176.465579217,33,0.419,,1
2000-01-11,2000,1,32.95,-119.8,9,San Clemente,Southern,0.0,0.0,0.0,145543092.820313,62576.8610991644,33,0.419,,0
2000-01-11,2000,1,33.7,-120.3,24,Arroyo Burro,Southern,0.0,0.0,0.0,17612712.5273438,19239.7400479643,34,0.345,,0
2000-01-11,2000,1,33.15,-119.93333333333334,13,Palos Verdes,Southern,150.0,75.0,0.0,161349145.34375,65128.7157887485,33,0.419,,1
2000-01-11,2000,1,32.6,-119.56666666666666,2,Coronado,Southern,1000.0,900.0,1618.0,199925316.175781,192832.083718717,33,0.419,,1
2000-01-11,2000,1,33.2,-119.96666666666667,14,Redondo Beach,Southern,150.0,75.0,0.0,117153862.1875,50352.9789631703,33,0.419,,1
2000-01-11,2000,1,33.35,-120.06666666666666,17,Point Dume,Southern,250.0,0.0,0.0,227537582.628906,80615.5837240345,33,0.419,,1
2000-01-11,2000,1,33.4,-120.1,18,Ventura,Southern,0.0,0.0,0.0,77335509.265625,36475.84435286,33,0.419,,0
2000-01-11,2000,1,33.45,-120.13333333333334,19,Rincon Point,Southern,0.0,0.0,0.0,90594675.2109375,40331.1613572221,33,0.419,,0
2000-01-11,2000,1,33.5,-120.16666666666667,20,Carpinteria,Southern,0.0,0.0,0.0,83283203.9765625,46375.921760517,33,0.419,,0
2000-01-11,2000,1,33.55,-120.2,21,Summerland,Southern,0.0,0.0,0.0,45669538.4921875,27167.7114952322,34,0.345,,0
